状态,链接,活动id,upid,抽奖时间戳,抽奖时间,一等奖,二等奖,三等奖
0,http://www.bilibili.com/opus/978705381836455975,978705381836455975,1864084681,1730304000,2024-10-31 00:00:00,无,无,无
0,http://www.bilibili.com/opus/986863650743517192,986863650743517192,1563299793,1730304000,2024-10-31 00:00:00,无,无,无
0,http://www.bilibili.com/opus/986520448539820034,986520448539820034,505566286,1730304000,2024-10-31 00:00:00,无,无,无
0,http://www.bilibili.com/opus/975407985136238597,975407985136238597,514978269,1730304000,2024-10-31 00:00:00,无,无,无
0,http://www.bilibili.com/opus/984371289853526016,984371289853526016,1310496424,1730304000,2024-10-31 00:00:00,无,无,无
0,http://www.bilibili.com/opus/986698908725936133,986698908725936133,28856253,1730304000,2024-10-31 00:00:00,无,无,无
0,http://www.bilibili.com/opus/986622801859313713,986622801859313713,3461569182698067,1730304000,2024-10-31 00:00:00,无,无,无
0,http://www.bilibili.com/opus/987996375358636032,987996375358636032,1694196506,1730304000,2024-10-31 00:00:00,无,无,无
0,http://www.bilibili.com/opus/982815291936342038,982815291936342038,480520643,1730304000,2024-10-31 00:00:00,无,无,无
0,http://www.bilibili.com/opus/990700010028924952,990700010028924952,1475698485,1730304000,2024-10-31 00:00:00,无,无,无
0,http://www.bilibili.com/opus/987353388685459473,987353388685459473,515090296,1730304000,2024-10-31 00:00:00,无,无,无
